userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
228,sd1,fe0,be0,fs1,md0,wd1,DID04
229,sd1,fe0,be0,fs1,md0,wd1,DID04
230,sd1,fe0,be0,fs1,md0,wd1,DID04
231,sd1,fe0,be0,fs1,md0,wd1,DID04
232,sd1,fe0,be0,fs0,md0,wd0,DID01
233,sd0,fe0,be0,fs0,md0,wd0,DID02
234,sd0,fe0,be0,fs0,md0,wd0,DID02
235,sd0,fe0,be0,fs0,md0,wd0,DID02
236,sd1,fe0,be0,fs0,md0,wd0,DID01
237,sd1,fe0,be0,fs0,md0,wd0,DID01
238,sd1,fe0,be0,fs0,md0,wd0,DID02
239,sd1,fe0,be0,fs0,md0,wd0,DID01
240,sd1,fe0,be0,fs0,md0,wd0,DID01
241,sd1,fe0,be0,fs0,md0,wd0,DID02
242,sd1,fe0,be0,fs0,md0,wd0,DID02
243,sd1,fe0,be0,fs0,md0,wd0,DID02
244,sd1,fe0,be0,fs1,md0,wd1,DID01
245,sd1,fe0,be0,fs1,md0,wd1,DID01
246,sd1,fe0,be0,fs1,md0,wd1,DID02
247,sd1,fe0,be0,fs1,md0,wd1,DID02
248,sd1,fe0,be0,fs0,md1,wd1,DID02
249,sd0,fe0,be0,fs0,md1,wd1,DID02
250,sd1,fe0,be0,fs0,md0,wd0,DID02
251,sd0,fe0,be0,fs0,md1,wd1,DID02
252,sd1,fe0,be0,fs0,md0,wd0,DID01
253,sd0,fe0,be0,fs0,md1,wd1,DID01
254,sd1,fe0,be0,fs0,md1,wd1,DID01
255,sd1,fe0,be0,fs0,md0,wd0,DID01
256,sd1,fe0,be0,fs0,md0,wd0,DID01
257,sd0,fe0,be0,fs0,md1,wd1,DID01
258,sd1,fe0,be0,fs0,md0,wd0,DID02
259,sd1,fe0,be0,fs0,md0,wd0,DID02
260,sd1,fe0,be0,fs0,md0,wd0,DID01
261,sd0,fe0,be0,fs0,md0,wd0,DID02
262,sd1,fe0,be0,fs0,md0,wd0,DID02
263,sd0,fe0,be0,fs0,md0,wd0,DID01
264,sd1,fe0,be0,fs0,md0,wd0,DID01
265,sd0,fe0,be0,fs0,md0,wd0,DID02
266,sd0,fe0,be0,fs0,md0,wd1,DID02
267,sd0,fe0,be0,fs0,md0,wd1,DID01
268,sd1,fe0,be0,fs0,md0,wd1,DID02
269,sd1,fe0,be0,fs0,md0,wd1,DID01
270,sd1,fe0,be0,fs1,md0,wd1,DID02
271,sd0,fe0,be0,fs1,md0,wd1,DID02
272,sd0,fe0,be0,fs0,md1,wd1,DID02
273,sd0,fe0,be0,fs0,md1,wd1,DID02
274,sd1,fe0,be0,fs0,md0,wd0,DID02
275,sd0,fe0,be0,fs0,md1,wd1,DID02
276,sd1,fe0,be0,fs0,md0,wd0,DID02
277,sd0,fe0,be0,fs0,md1,wd1,DID02
278,sd1,fe0,be0,fs0,md1,wd1,DID02
279,sd1,fe0,be0,fs0,md0,wd0,DID02
280,sd0,fe0,be0,fs0,md0,wd0,DID01
281,sd0,fe0,be0,fs0,md0,wd0,DID03
282,sd1,fe0,be0,fs0,md0,wd1,DID01
283,sd1,fe0,be0,fs0,md0,wd1,DID01
284,sd0,fe0,be0,fs0,md0,wd1,DID03
285,sd1,fe0,be0,fs0,md0,wd0,DID03
286,sd0,fe0,be0,fs0,md0,wd0,DID01
287,sd1,fe0,be0,fs0,md0,wd0,DID03
